command,needle,block_size_bytes,simd,read_parallelism,search_parallelism,bytes_searched,duration_secs
async,0x42,4096,true,137438953472,4,4,254.784492466
async,0x42,4096,false,137438953472,4,4,254.159810812
async,0x42,4096,true,137438953472,4,16,298.551242281
async,0x42,4096,true,137438953472,16,4,262.093592318
async,0x42,4096,true,137438953472,16,16,266.121770474
async,0x42,4096,false,137438953472,16,16,261.923845921
async,0x42,65536,true,137438953472,4,4,180.724935222
async,0x42,65536,true,137438953472,4,16,180.261044948
async,0x42,65536,false,137438953472,4,16,180.858733502
async,0x42,65536,true,137438953472,16,4,73.07310976
async,0x42,65536,false,137438953472,16,4,73.385262457
async,0x42,65536,true,137438953472,16,16,73.056650403
async,0x42,65536,false,137438953472,16,16,73.328723546
async,0x42,1048576,true,137438953472,4,4,55.167830828
async,0x42,1048576,false,137438953472,4,4,54.180134444
async,0x42,1048576,true,137438953472,4,16,55.637290537
async,0x42,1048576,true,137438953472,16,4,41.833837146
async,0x42,1048576,true,137438953472,16,16,42.018606191
async,0x42,1048576,false,137438953472,16,16,42.801836385
