iodepth,block_size,bandwidth_mib_s
1,4k,28.54
1,8k,52.76
1,16k,96.35
1,32k,166.73
1,64k,285.08
1,128k,433.51
1,256k,589.61
1,512k,877.74
1,1m,1488.62
2,4k,45.12
2,8k,90.25
2,16k,171.53
2,32k,314.62
2,64k,550.42
2,128k,699.34
2,256k,1206.91
2,512k,1728.71
2,1m,2453.21
4,4k,62.10
4,8k,136.11
4,16k,267.46
4,32k,528.17
4,64k,844.00
4,128k,1216.59
4,256k,1891.65
4,512k,2653.72
4,1m,3089.13
8,4k,107.72
8,8k,224.47
8,16k,446.71
8,32k,814.44
8,64k,1376.02
8,128k,1973.03
8,256k,2796.28
8,512k,3100.08
8,1m,3116.63
16,4k,219.07
16,8k,366.00
16,16k,715.01
16,32k,1433.23
16,64k,2157.71
16,128k,2949.40
16,256k,3117.26
16,512k,3137.17
16,1m,3127.39
32,4k,346.28
32,8k,590.68
32,16k,1311.61
32,32k,2272.96
32,64k,3049.55
32,128k,3100.81
32,256k,3098.81
32,512k,3122.00
32,1m,3125.48
64,4k,533.87
64,8k,1119.43
64,16k,2176.61
64,32k,3058.32
64,64k,3127.86
64,128k,3121.14
64,256k,3118.96
64,512k,3106.31
64,1m,3133.40
128,4k,789.50
128,8k,1758.21
128,16k,2938.21
128,32k,3118.25
128,64k,3099.72
128,128k,3120.85
128,256k,3100.03
128,512k,3103.76
128,1m,3102.50
256,4k,1009.22
256,8k,1949.92
256,16k,3062.32
256,32k,3041.14
256,64k,3126.70
256,128k,3101.24
256,256k,3099.91
256,512k,3116.99
256,1m,3128.92
512,4k,994.47
512,8k,1931.19
512,16k,3014.94
512,32k,3075.74
512,64k,3085.25
512,128k,3131.77
512,256k,3134.16
512,512k,3100.63
512,1m,3133.82
1024,4k,1015.27
1024,8k,2008.99
1024,16k,3023.75
1024,32k,3098.31
1024,64k,3113.23
1024,128k,3131.38
1024,256k,3135.39
1024,512k,3110.83
1024,1m,3119.16
